model_name,def_gen,atk_gen,accuracy,adv_accuracy,def_value,adv_failure_rate,train_time,predict_time,adv_predict_time,data.sample.random_state,Epochs,model_layers,model.init.name,data,attack,model,dataset
ResNet101,Conf,FGM,0.614,0.1,0.449438202247191,41.456567813459216,94.177633722,2.170946722,0.020612283,2,20.0,101,torch_example.ResNet101,6241770775c34a58a0e49f2491ee64fc,6241770775c34a58a0e49f2491ee64fc,6241770775c34a58a0e49f2491ee64fc,cifar
ResNet101,Conf,Deep,0.5945,0.06,0.0,42.56394725817435,94.221059773,2.208441793,0.020713702,2,20.0,101,torch_example.ResNet101,63bac336de3fa661fc38caf1633e615d,63bac336de3fa661fc38caf1633e615d,63bac336de3fa661fc38caf1633e615d,cifar
ResNet101,Conf,Pixel,0.6103333333333333,0.0,1.0,48.38886505941593,94.217379709,2.066591144,0.020787585,1,20.0,101,torch_example.ResNet101,669b4dcaea1baaf925c6cab79d321eb1,669b4dcaea1baaf925c6cab79d321eb1,669b4dcaea1baaf925c6cab79d321eb1,cifar
ResNet101,Conf,HSJ,0.1035,0.0,0.8988764044943821,45.320634104921055,94.369304031,2.20650046,0.021256227,9,20.0,101,torch_example.ResNet101,66d7880dbd7b231207dcd725d347c049,66d7880dbd7b231207dcd725d347c049,66d7880dbd7b231207dcd725d347c049,cifar
ResNet101,Conf,Thresh,0.4595,0.12,1.0,40.79473924504959,94.369304031,2.157140887,0.022959134,1,20.0,101,torch_example.ResNet101,6adbfbdeb39d8acecb8e68edba052879,6adbfbdeb39d8acecb8e68edba052879,6adbfbdeb39d8acecb8e68edba052879,cifar
ResNet101,Conf,Deep,0.4694166666666666,0.08,0.0,41.40582014492965,95.649510869,2.221909859,0.020675883,6,20.0,101,torch_example.ResNet101,6e4fd71c508c216e954a8686fa523efd,6e4fd71c508c216e954a8686fa523efd,6e4fd71c508c216e954a8686fa523efd,cifar
ResNet101,Conf,Pixel,0.099,0.08,0.8988764044943821,43.98190113216178,94.513021045,2.091769515,0.021226963,4,20.0,101,torch_example.ResNet101,70127e6217ca90c4933eb9814324a5ec,70127e6217ca90c4933eb9814324a5ec,70127e6217ca90c4933eb9814324a5ec,cifar
ResNet101,Conf,PGD,0.55325,0.11,0.0,40.373941980833536,94.525874667,2.204392131,0.021205098,4,20.0,101,torch_example.ResNet101,703ef9ad98a3124b524a2050db8eea5c,703ef9ad98a3124b524a2050db8eea5c,703ef9ad98a3124b524a2050db8eea5c,cifar
ResNet101,Conf,Pixel,0.1073333333333333,0.1,0.0,40.42172178155482,95.73413744,2.226525641,0.020624838,0,20.0,101,torch_example.ResNet101,70e8519d87c780edab86fc4210697c7e,70e8519d87c780edab86fc4210697c7e,70e8519d87c780edab86fc4210697c7e,cifar
ResNet101,Conf,Pixel,0.0,0.12,0.0,42.66086762238584,94.537007596,2.062780363,0.020794674,1,20.0,101,torch_example.ResNet101,7349cb60fcc62f385cfe12b51f9c5106,7349cb60fcc62f385cfe12b51f9c5106,7349cb60fcc62f385cfe12b51f9c5106,cifar
ResNet101,Conf,PGD,0.46075,0.03,0.0,43.373664257536994,95.764888599,2.236380109,0.020736118,1,20.0,101,torch_example.ResNet101,761f9e399018f7a9d7c04243860c703c,761f9e399018f7a9d7c04243860c703c,761f9e399018f7a9d7c04243860c703c,cifar
ResNet101,Conf,HSJ,0.3285833333333333,0.04,0.449438202247191,43.15362507979582,95.839754763,2.224610327,0.02102863,3,20.0,101,torch_example.ResNet101,77a231a26d1525ee8372971bc99e5f76,77a231a26d1525ee8372971bc99e5f76,77a231a26d1525ee8372971bc99e5f76,cifar
