model_name,dataset,def_gen,atk_gen,accuracy,adv_accuracy,def_value,adv_failure_rate,train_time,predict_time,adv_predict_time,data.sample.random_state,model_layers,model.init.name,data,attack,model
ResNet101,mnist,Gauss-out,HSJ,0.0,0.1,,34.01898149550731,,2.64558185,0.022251806,5,101,torch_example.ResNet101,4ce895de14eca6c9b01f9d7e1d3ed19a,4ce895de14eca6c9b01f9d7e1d3ed19a,4ce895de14eca6c9b01f9d7e1d3ed19a
ResNet152,mnist,Control,FGM,0.2757142857142857,0.09,1.0,8.663537068688147,544.150114844,10.503792998,0.028506591,6,152,torch_example.ResNet152,4cea54c61ebb32f356dabf2e652ef925,4cea54c61ebb32f356dabf2e652ef925,4cea54c61ebb32f356dabf2e652ef925
ResNet50,mnist,Gauss-in,FGM,0.1022857142857142,0.08,,62.37639557862549,113.240974717,1.4749169,0.012394362,7,50,torch_example.ResNet50,4ceee1c889075a7d6f07c2e13ae71072,4ceee1c889075a7d6f07c2e13ae71072,4ceee1c889075a7d6f07c2e13ae71072
ResNet18,mnist,Gauss-in,PGD,0.934,0.12,0.2929292929292929,37.45682510323388,,2.34937157,0.011292915,0,18,torch_example.ResNet18,4cf6b545091671a094a041c0a84a52b6,4cf6b545091671a094a041c0a84a52b6,4cf6b545091671a094a041c0a84a52b6
ResNet18,mnist,Gauss-out,Deep,0.40875,0.1,0.2929292929292929,87.91367392199626,,1.023731531,0.031618514,0,18,torch_example.ResNet18,4cfcba5340a7260e2d1196ecb2d5d381,4cfcba5340a7260e2d1196ecb2d5d381,4cfcba5340a7260e2d1196ecb2d5d381
ResNet50,mnist,FSQ,Deep,,,,,66.808916168,1.383738935,,0,50,torch_example.ResNet50,4cff3bbef8a3b299d0f8be8e28fd8c9f,4cff3bbef8a3b299d0f8be8e28fd8c9f,4cff3bbef8a3b299d0f8be8e28fd8c9f
ResNet18,mnist,Gauss-in,HSJ,0.1125,0.1,,175.04384668453272,29.852805093,0.514156891,0.004704301,9,18,torch_example.ResNet18,4cff3da36946dabe184f32fa005ed093,4cff3da36946dabe184f32fa005ed093,4cff3da36946dabe184f32fa005ed093
ResNet34,mnist,Control,Pixel,0.0,0.13,0.1194029850746268,110.03188145941132,,0.790679927,0.007999007,5,34,torch_example.ResNet34,4d01fe85aa6aa396bd521431a430d941,4d01fe85aa6aa396bd521431a430d941,4d01fe85aa6aa396bd521431a430d941
ResNet152,mnist,FSQ,Thresh,0.0,0.12,,21.635064497184445,181.862779942,4.067471119,0.029693669,7,152,torch_example.ResNet152,4d039bb58ea12e75a54e9697013d74bd,4d039bb58ea12e75a54e9697013d74bd,4d039bb58ea12e75a54e9697013d74bd
ResNet152,mnist,Gauss-in,HSJ,0.1147142857142857,0.11,,11.985615830271286,339.974311629,7.425567552,0.067328388,8,152,torch_example.ResNet152,4d0714c3f1af3adc19d090112de5338e,4d0714c3f1af3adc19d090112de5338e,4d0714c3f1af3adc19d090112de5338e
ResNet18,mnist,Gauss-out,Deep,0.9711666666666666,0.12,0.0909090909090909,78.04845403413816,,1.127504716,0.022232634,0,18,torch_example.ResNet18,4d075898a665b585c959adb68cb52cdb,4d075898a665b585c959adb68cb52cdb,4d075898a665b585c959adb68cb52cdb
ResNet34,mnist,FSQ,Deep,0.1355714285714285,0.13,,91.77447501273932,,0.947976003,0.00838424,8,34,torch_example.ResNet34,4d0e8308023d57c7242769bf63ff7d17,4d0e8308023d57c7242769bf63ff7d17,4d0e8308023d57c7242769bf63ff7d17
ResNet101,mnist,Control,Pixel,0.9740714285714286,0.08,0.6194029850746269,25.560974801725703,,3.599236755,0.019976727,4,101,torch_example.ResNet101,4d0fedf714ff2de61de88b04467cedfc,4d0fedf714ff2de61de88b04467cedfc,4d0fedf714ff2de61de88b04467cedfc
ResNet50,mnist,FSQ,PGD,0.9847857142857144,0.11,,65.40724670182948,66.837766872,1.360705495,0.011366852,3,50,torch_example.ResNet50,4d16410bbb41b9953de5a6406b94c07e,4d16410bbb41b9953de5a6406b94c07e,4d16410bbb41b9953de5a6406b94c07e
ResNet18,mnist,FSQ,Deep,0.9021666666666668,0.12,0.4666666666666667,76.00153545211151,,1.157871344,0.024700358,0,18,torch_example.ResNet18,4d182fe940ab391ba12862971b10c043,4d182fe940ab391ba12862971b10c043,4d182fe940ab391ba12862971b10c043
ResNet34,mnist,Control,PGD,0.0,0.14,0.1194029850746268,103.35949175782268,,0.832047435,0.007761141,6,34,torch_example.ResNet34,4d1dffd0a143ab0a6ff7b1027ecd5ed6,4d1dffd0a143ab0a6ff7b1027ecd5ed6,4d1dffd0a143ab0a6ff7b1027ecd5ed6
ResNet101,mnist,Gauss-in,Thresh,0.0,0.05,,39.82572744608939,113.384399666,2.385392712,0.020086637,6,101,torch_example.ResNet101,4d20757d50fa6de448e1dc7d31405eff,4d20757d50fa6de448e1dc7d31405eff,4d20757d50fa6de448e1dc7d31405eff
ResNet18,mnist,Gauss-in,Deep,0.9615,0.11,0.494949494949495,56.66181369692045,,1.570722753,0.01099772,0,18,torch_example.ResNet18,4d20a77e2bc6b63a9473dda9a5a2e066,4d20a77e2bc6b63a9473dda9a5a2e066,4d20a77e2bc6b63a9473dda9a5a2e066
ResNet34,mnist,Gauss-out,FGM,0.0,0.1,,79.2958642148617,69.486611959,1.134989837,0.009824802,0,34,torch_example.ResNet34,4d22a53c54c286ef8548c96a8c380b2b,4d22a53c54c286ef8548c96a8c380b2b,4d22a53c54c286ef8548c96a8c380b2b
ResNet18,mnist,Gauss-out,Deep,0.8224166666666667,0.1,1.0,65.1184715329848,,1.382096322,0.02267443,0,18,torch_example.ResNet18,4d22d7f9f95c0d49948ee3aebf39a98d,4d22d7f9f95c0d49948ee3aebf39a98d,4d22d7f9f95c0d49948ee3aebf39a98d
ResNet34,mnist,Control,Thresh,0.3224285714285714,0.06,0.1194029850746268,44.24247499404841,,2.124655097,0.012369275,7,34,torch_example.ResNet34,4d230770ba9ea961907bf4d2ccd6432f,4d230770ba9ea961907bf4d2ccd6432f,4d230770ba9ea961907bf4d2ccd6432f
ResNet18,mnist,FSQ,Deep,0.1041666666666666,0.12,0.0,27.63459641762584,,3.184414155,0.008236106,0,18,torch_example.ResNet18,4d2312881c9d9a91b23722188797d6e0,4d2312881c9d9a91b23722188797d6e0,4d2312881c9d9a91b23722188797d6e0
ResNet18,mnist,Control,FGM,,,0.0,,,,,9,18,torch_example.ResNet18,4d24041ef26df5006e185ca46fff8768,4d24041ef26df5006e185ca46fff8768,4d24041ef26df5006e185ca46fff8768
ResNet18,mnist,FSQ,HSJ,0.9904166666666666,0.11,0.2,73.10482583362959,,1.217429889,0.017567664,0,18,torch_example.ResNet18,4d28fb7ae004df552c78c820ee8f988e,4d28fb7ae004df552c78c820ee8f988e,4d28fb7ae004df552c78c820ee8f988e
ResNet34,mnist,Gauss-out,FGM,0.0,0.09,,78.90823516197212,,1.153238313,0.009845271,3,34,torch_example.ResNet34,4d2c1f37ff41c6a7577439d31492066a,4d2c1f37ff41c6a7577439d31492066a,4d2c1f37ff41c6a7577439d31492066a
ResNet18,mnist,Conf,Pixel,,,,,113.179517011,1.857703007,,0,18,torch_example.ResNet18,4d2ed232d05d29dcc9c5431bd13d5bb9,4d2ed232d05d29dcc9c5431bd13d5bb9,4d2ed232d05d29dcc9c5431bd13d5bb9
ResNet152,mnist,FSQ,FGM,0.2473571428571428,0.13,,5.999997984828263,716.620870849,14.50000487,0.031458979,3,152,torch_example.ResNet152,4d33fe9a759435ffe38037c490dd7897,4d33fe9a759435ffe38037c490dd7897,4d33fe9a759435ffe38037c490dd7897
ResNet18,mnist,Control,PGD,0.9870833333333332,0.13,0.0,66.99243171406378,,1.298654158,0.012172029,0,18,torch_example.ResNet18,4d355d9fdade7198ea79abc8255c52f4,4d355d9fdade7198ea79abc8255c52f4,4d355d9fdade7198ea79abc8255c52f4
ResNet152,mnist,Gauss-out,FGM,,,,,,,,5,152,torch_example.ResNet152,4d3ad7aa2e8c9ff0a411e60421c000f5,4d3ad7aa2e8c9ff0a411e60421c000f5,4d3ad7aa2e8c9ff0a411e60421c000f5
ResNet18,mnist,Gauss-out,FGM,0.9020833333333332,0.13,0.0,62.55009597643589,277.684454689,1.390885156,0.010959521,0,18,torch_example.ResNet18,4d403eea4ca6a69247cd67fd97423587,4d403eea4ca6a69247cd67fd97423587,4d403eea4ca6a69247cd67fd97423587
ResNet50,mnist,Control,Deep,0.1552142857142857,0.14,0.2388059701492537,67.0726635303562,66.825455632,1.282191514,0.010807353,2,50,torch_example.ResNet50,4d426bf6f1f1489a48b477346b9fdc36,4d426bf6f1f1489a48b477346b9fdc36,4d426bf6f1f1489a48b477346b9fdc36
ResNet18,mnist,Gauss-in,FGM,0.8226666666666667,0.11,1.0,34.70778970174596,,2.564265854,0.014259184,0,18,torch_example.ResNet18,4d431f7e9845e9d6e89cbad8711f27f8,4d431f7e9845e9d6e89cbad8711f27f8,4d431f7e9845e9d6e89cbad8711f27f8
ResNet18,mnist,Gauss-out,FGM,0.98475,0.07,0.2929292929292929,71.58254069043139,,1.299199485,0.025411115,0,18,torch_example.ResNet18,4d439482953a3bb401c608b42727e44a,4d439482953a3bb401c608b42727e44a,4d439482953a3bb401c608b42727e44a
ResNet34,mnist,Control,FGM,0.1132142857142857,0.07,0.1194029850746268,30.179566336337597,200.876708488,3.081555214,0.008340493,0,34,torch_example.ResNet34,4d442f0cb3073369491414d7d60e2e43,4d442f0cb3073369491414d7d60e2e43,4d442f0cb3073369491414d7d60e2e43
ResNet18,mnist,Conf,FGM,0.4580833333333333,0.0,0.449438202247191,78.15925769114139,,1.279438968,0.031676775,0,18,torch_example.ResNet18,4d45ef64d8f9c12367b84e592b157852,4d45ef64d8f9c12367b84e592b157852,4d45ef64d8f9c12367b84e592b157852
ResNet18,mnist,Conf,FGM,0.9888333333333332,0.05,0.0,139.5838993674726,257.299159334,0.680594255,0.005663762,0,18,torch_example.ResNet18,4d46862a87cb399570ba2661795bd072,4d46862a87cb399570ba2661795bd072,4d46862a87cb399570ba2661795bd072
ResNet18,mnist,FSQ,HSJ,0.8991666666666667,0.07,0.4666666666666667,56.16457857905837,,1.655847909,0.010432474,0,18,torch_example.ResNet18,4d4847f2fdb072531e337401826999b0,4d4847f2fdb072531e337401826999b0,4d4847f2fdb072531e337401826999b0
ResNet34,mnist,Control,FGM,0.1155714285714285,0.04,0.1194029850746268,15.791726963654328,358.248941776,6.079132461,0.026968089,5,34,torch_example.ResNet34,4d49c5918932177ba7565707d235c9d6,4d49c5918932177ba7565707d235c9d6,4d49c5918932177ba7565707d235c9d6
ResNet18,mnist,FSQ,HSJ,0.966,0.12,0.0666666666666666,67.99744418315628,,1.294166289,0.011093873,0,18,torch_example.ResNet18,4d4a4939bc967970cc5111b8c02bba1a,4d4a4939bc967970cc5111b8c02bba1a,4d4a4939bc967970cc5111b8c02bba1a
ResNet152,mnist,FSQ,PGD,0.1147857142857142,0.11,,25.505715673692755,212.471461171,3.489413947,0.029415053,0,152,torch_example.ResNet152,4d4b7d41c4f08b40254b81df5e095b24,4d4b7d41c4f08b40254b81df5e095b24,4d4b7d41c4f08b40254b81df5e095b24
ResNet50,mnist,FSQ,PGD,0.0,0.1,,56.71019540259633,,1.587016221,0.012972651,1,50,torch_example.ResNet50,4d4dd64474a26ac22f051f10e8e81492,4d4dd64474a26ac22f051f10e8e81492,4d4dd64474a26ac22f051f10e8e81492
ResNet18,mnist,Gauss-in,PGD,0.9518571428571428,0.11,,47.83938042192825,118.335416859,1.860391987,0.005381735,0,18,torch_example.ResNet18,4d50f886279dd637cd175c2712210626,4d50f886279dd637cd175c2712210626,4d50f886279dd637cd175c2712210626
ResNet101,mnist,FSQ,Deep,0.0,0.11,,9.18157733117869,490.79148195,9.693323575,0.02399038,8,101,torch_example.ResNet101,4d52a28b286bc9f441b75225d6d7182b,4d52a28b286bc9f441b75225d6d7182b,4d52a28b286bc9f441b75225d6d7182b
ResNet152,mnist,Control,FGM,0.0,0.13,1.0,19.411858099757293,210.437631249,4.481796619,0.029188377,0,152,torch_example.ResNet152,4d53188e3621d75c2e748b5988ef6715,4d53188e3621d75c2e748b5988ef6715,4d53188e3621d75c2e748b5988ef6715
ResNet18,mnist,Gauss-out,FGM,0.9900833333333332,0.09,1.0,59.74158852039615,,1.523226989,0.009705021,0,18,torch_example.ResNet18,4d55a8d4108a685afc0c7a3dbda5b5ec,4d55a8d4108a685afc0c7a3dbda5b5ec,4d55a8d4108a685afc0c7a3dbda5b5ec
ResNet101,mnist,Gauss-out,Deep,0.3182857142857143,0.13,,15.792259742636665,,5.50902793,0.027759208,3,101,torch_example.ResNet101,4d56d456125b82df761a56ba38e4a35c,4d56d456125b82df761a56ba38e4a35c,4d56d456125b82df761a56ba38e4a35c
ResNet34,mnist,Control,FGM,0.4645,0.11,0.1194029850746268,13.041301773998082,391.69281493,6.824472092,0.042743926,4,34,torch_example.ResNet34,4d57c6e943bc727d4f7ba97c46fbb8f0,4d57c6e943bc727d4f7ba97c46fbb8f0,4d57c6e943bc727d4f7ba97c46fbb8f0
ResNet18,mnist,Gauss-out,PGD,0.9786666666666668,0.11,1.0,94.26188795794542,,0.944177991,0.013995053,0,18,torch_example.ResNet18,4d5ad3cd5d987d6709c8241d1744e80f,4d5ad3cd5d987d6709c8241d1744e80f,4d5ad3cd5d987d6709c8241d1744e80f
ResNet18,mnist,Gauss-out,FGM,0.98975,0.05,0.494949494949495,63.3919127433676,,1.498613875,0.013867241,0,18,torch_example.ResNet18,4d64771de678d830412aa9ba7a9575d4,4d64771de678d830412aa9ba7a9575d4,4d64771de678d830412aa9ba7a9575d4
ResNet50,mnist,Control,PGD,0.204,0.01,0.2388059701492537,78.21053481067598,,1.265814129,0.010803654,7,50,torch_example.ResNet50,4d65d652de34f925a9a76b67d69992ec,4d65d652de34f925a9a76b67d69992ec,4d65d652de34f925a9a76b67d69992ec
ResNet34,mnist,Gauss-out,FGM,0.1524285714285714,0.07,,84.09934946973836,70.777829422,1.105834951,0.009869645,0,34,torch_example.ResNet34,4d663fe5a9d0d673ab277b277646edc2,4d663fe5a9d0d673ab277b277646edc2,4d663fe5a9d0d673ab277b277646edc2
