model_name,dataset,def_gen,atk_gen,accuracy,adv_accuracy,def_value,adv_failure_rate,train_time,predict_time,adv_predict_time,data.sample.random_state,Epochs,model_layers,model.init.name,data,attack,model
ResNet101,cifar100,Conf,Thresh,0.0095833333333333,0.03,0.0,19.758019461832493,633.27643638,4.90939895,0.035310655,6,1,101,torch_example.ResNet101,2dae140363405ce49ff420ee1b2b52e6,2dae140363405ce49ff420ee1b2b52e6,2dae140363405ce49ff420ee1b2b52e6
ResNet101,cifar100,Conf,Deep,0.01725,0.0,0.0,9.22373728051241,693.921655889,10.8415924,0.08520209,9,1,101,torch_example.ResNet101,2e7daa3cd000c23cad4bb5a022e1bfae,2e7daa3cd000c23cad4bb5a022e1bfae,2e7daa3cd000c23cad4bb5a022e1bfae
ResNet101,cifar100,Conf,HSJ,0.0,0.03,0.0,9.773646749498576,630.070497765,9.924647625,0.059454951,4,1,101,torch_example.ResNet101,2ea29d7e7588abff6bb38b31df5cfa9c,2ea29d7e7588abff6bb38b31df5cfa9c,2ea29d7e7588abff6bb38b31df5cfa9c
ResNet101,cifar100,Conf,Deep,0.0104166666666666,0.0,0.0,7.897809108761747,788.936291216,12.661739303,0.112075177,4,1,101,torch_example.ResNet101,2eb7059789f925dd8e0987206c41cd50,2eb7059789f925dd8e0987206c41cd50,2eb7059789f925dd8e0987206c41cd50
ResNet101,cifar100,Conf,Deep,0.0686666666666666,0.01,0.2247191011235954,0.8294790013500678,20481.78319697,119.352026801,0.969505015,1,1,101,torch_example.ResNet101,3075d54d222d54d2cac9972c07b1cc97,3075d54d222d54d2cac9972c07b1cc97,3075d54d222d54d2cac9972c07b1cc97
ResNet101,cifar100,Conf,FGM,0.093,0.0,0.8988764044943821,8.31290400527984,792.890651999,12.029490529,0.056425558,8,1,101,torch_example.ResNet101,30ceb9f4af41638ed1b563a898b81925,30ceb9f4af41638ed1b563a898b81925,30ceb9f4af41638ed1b563a898b81925
ResNet101,cifar100,Conf,Pixel,0.0115833333333333,0.0,1.0,9.606288413496422,596.406740284,10.409847768,0.023558574,2,1,101,torch_example.ResNet101,30dd1512a2bfd7054b785a71a8539133,30dd1512a2bfd7054b785a71a8539133,30dd1512a2bfd7054b785a71a8539133
ResNet101,cifar100,Conf,PGD,0.0850833333333333,0.01,0.449438202247191,0.8509895946856626,21055.943882004,116.335147478,0.985434643,6,1,101,torch_example.ResNet101,33565b387bbd72f0f8ff90ce82c4c7a1,33565b387bbd72f0f8ff90ce82c4c7a1,33565b387bbd72f0f8ff90ce82c4c7a1
ResNet101,cifar100,Conf,Deep,0.0868333333333333,0.0,0.449438202247191,8.481980397455581,795.065729174,11.789699494,0.133035021,3,1,101,torch_example.ResNet101,33a3b2d8684cea91b801d5e87d1d584c,33a3b2d8684cea91b801d5e87d1d584c,33a3b2d8684cea91b801d5e87d1d584c
ResNet101,cifar100,Conf,HSJ,0.01,0.01,0.449438202247191,10.89318129357536,637.530217192,9.088254141,0.024488859,8,1,101,torch_example.ResNet101,341a2078326ae3ea99e342d1d5c15dfb,341a2078326ae3ea99e342d1d5c15dfb,341a2078326ae3ea99e342d1d5c15dfb
ResNet101,cifar100,Conf,Thresh,0.1083333333333333,0.0,0.449438202247191,9.709739993144655,624.434961575,10.298936951,0.034557434,5,1,101,torch_example.ResNet101,3470b63c67041df5abc59ea8337adf08,3470b63c67041df5abc59ea8337adf08,3470b63c67041df5abc59ea8337adf08
ResNet101,cifar100,Conf,HSJ,0.0276666666666666,0.02,0.0,0.8298315110045017,21040.275033051,118.096262555,0.978991256,9,1,101,torch_example.ResNet101,36b59b0f4bbcca63d203d9de0ccba1f2,36b59b0f4bbcca63d203d9de0ccba1f2,36b59b0f4bbcca63d203d9de0ccba1f2
ResNet101,cifar100,Conf,Deep,0.0163333333333333,0.01,0.8988764044943821,0.8742264489633492,20048.445047797,113.242970534,0.965419807,3,1,101,torch_example.ResNet101,36bf486df4a898f3ff45920ed14921bf,36bf486df4a898f3ff45920ed14921bf,36bf486df4a898f3ff45920ed14921bf
ResNet101,cifar100,Conf,HSJ,0.20475,0.0,0.449438202247191,0.8461671678107358,21194.616827741,118.179957583,0.965014156,5,1,101,torch_example.ResNet101,384951f63a23d6f8d8a2db62e26f35b2,384951f63a23d6f8d8a2db62e26f35b2,384951f63a23d6f8d8a2db62e26f35b2
ResNet101,cifar100,Conf,Pixel,0.01,0.01,0.0,11.023879301431393,624.653473153,8.980504711,0.023925738,3,1,101,torch_example.ResNet101,390bf1c8ca3f8e740d575fb712739cc7,390bf1c8ca3f8e740d575fb712739cc7,390bf1c8ca3f8e740d575fb712739cc7
ResNet101,cifar100,Conf,HSJ,0.0,0.0,0.2247191011235954,0.857681466194673,20867.588699762,116.593402028,1.000349592,9,1,101,torch_example.ResNet101,3948b2ae7b9cf1bcf71ed3e1b6f6bae0,3948b2ae7b9cf1bcf71ed3e1b6f6bae0,3948b2ae7b9cf1bcf71ed3e1b6f6bae0
ResNet101,cifar100,Conf,FGM,0.01525,0.03,1.0,8.57255524961351,790.112390963,11.315179334,0.049586789,4,1,101,torch_example.ResNet101,396b3bbe44ed01be4e89d93f1ac1b8dc,396b3bbe44ed01be4e89d93f1ac1b8dc,396b3bbe44ed01be4e89d93f1ac1b8dc
